2025-05-26 21:43:24,840 INFO    MainThread:10498 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_setup.py:_flush():70] Configure stats pid to 10498
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_setup.py:_flush():70] Loading settings from /home/kkyyxhll/.config/wandb/settings
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_setup.py:_flush():70] Loading settings from /home/kkyyxhll/Projects/PythonProjects/MiniKL/wandb/settings
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/kkyyxhll/Projects/PythonProjects/MiniKL/wandb/run-20250526_214324-z69spqk5/logs/debug.log
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/kkyyxhll/Projects/PythonProjects/MiniKL/wandb/run-20250526_214324-z69spqk5/logs/debug-internal.log
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:init():852] calling init triggers
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0005, 'architecture': 'MiniKL Decoder', 'dataset': 'books', 'epochs': 10, 'batch_size': 24, '_wandb': {}}
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:init():893] starting backend
2025-05-26 21:43:24,841 INFO    MainThread:10498 [wandb_init.py:init():897] sending inform_init request
2025-05-26 21:43:24,844 INFO    MainThread:10498 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-26 21:43:24,844 INFO    MainThread:10498 [wandb_init.py:init():907] backend started and connected
2025-05-26 21:43:24,845 INFO    MainThread:10498 [wandb_init.py:init():1005] updated telemetry
2025-05-26 21:43:24,848 INFO    MainThread:10498 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
